benchmark,runs,total,avg,std,min,max,p75,p99,p995
16,309,1961378591,6347503,83664,6272542,7042375,6359125,6740625,6961125
17,151,1959066918,12973953,202487,12808625,14667625,13004625,13554166,14667625
18,75,1973416502,26312220,214046,26091542,26991958,26303500,26991958,26991958
19,36,1944350248,54009729,306221,53760042,55491708,54093416,55491708,55491708
20,17,1881443916,110673171,242779,110292292,111203333,110746708,111203333,111203333
21,8,1820339751,227542468,702273,226800625,228651000,228541084,228651000,228651000
22,4,1872936250,468234062,1492826,466493417,469626083,469626083,469626083,469626083
23,1,970995334,970995334,0,970995334,970995334,970995334,970995334,970995334
24,1,1977451542,1977451542,0,1977451542,1977451542,1977451542,1977451542,1977451542
25,1,4010667792,4010667792,0,4010667792,4010667792,4010667792,4010667792,4010667792
26,1,11554213750,11554213750,0,11554213750,11554213750,11554213750,11554213750,11554213750
