benchmark,runs,total,avg,std,min,max,p75,p99,p995
10,10039,2000428100,199265,16790,180500,365900,198800,278700,282500
11,5471,1994209800,364505,26979,337800,678000,362500,489800,496400
12,2766,1997166600,722041,44225,676900,1173600,720100,933000,938400
13,1468,1986688100,1353329,38354,1303500,1661200,1360900,1527400,1579600
14,771,2001136100,2595507,39399,2543300,3138700,2609000,2700300,2782100
15,390,1999930200,5128026,69311,5019000,5524700,5148700,5410900,5521400
16,196,1997056500,10189063,81195,10081400,10636800,10217300,10623400,10636800
17,96,1980237300,20627471,119676,20448300,21162700,20696900,21162700,21162700
18,47,1967212800,41855591,149642,41619600,42332900,41953200,42332900,42332900
19,23,1951978600,84868634,207980,84525200,85250100,85020500,85250100,85250100
20,11,1880636200,170966927,251756,170453500,171360700,171153300,171360700,171360700
