benchmark,runs,total,avg,std,min,max,p75,p99,p995
10,31310,2002163800,63946,1550,62500,97400,63900,69700,72900
11,25986,2002254400,77051,1939,75500,131600,77000,83800,87400
12,20927,2005218000,95819,3149,93300,167800,95700,109100,113200
13,17891,1999236300,111745,2548,109600,173100,111800,120700,123600
14,15524,2000288900,128851,2594,126400,174300,128900,138600,141700
15,13600,2001159700,147144,3753,144500,366100,147300,157900,163300
16,11992,2001167500,166875,3127,164300,225000,167100,177900,182700
17,10656,1999937300,187681,4324,184800,344900,187900,200300,207200
18,9529,2002175900,210113,4734,206900,381700,210300,228100,235000
19,8561,2004947800,234195,6669,230400,480800,234400,256800,268300
20,7724,1998263200,258708,3075,255600,289600,259200,270900,275700
