benchmark,runs,total,avg,std,min,max,p75,p99,p995
4,100000,1816109178,18161,1776,17250,88209,18083,26125,29250
5,100000,3432624323,34326,2248,32625,96625,34042,45458,47708
6,100000,6723943574,67239,3340,65542,132041,66792,85584,89334
7,73547,10006372484,136054,5611,129584,220834,135333,164459,175292
8,35867,10011852145,279138,9501,273084,393875,278333,323250,337667
9,17304,10007650245,578343,15335,567458,778000,579041,633542,662292
10,8276,9995186046,1207731,28892,1184667,1586125,1210500,1312958,1407500
11,3963,10005891127,2524827,51580,2447500,3149792,2533375,2752833,2844000
12,1884,9984898180,5299839,114342,5199792,8358708,5324458,5723750,5868583
13,903,9978650753,11050554,173165,10873250,12415667,11076875,11797500,11862458
