benchmark,runs,total,avg,std,min,max,p75,p99,p995
4,100000,3107120178,31071,5698,29583,1127333,30833,42959,47250
5,100000,3956706392,39567,3066,38125,186500,39625,52750,58250
6,100000,4993549311,49935,4385,47625,309958,49541,69250,75125
7,100000,6200842451,62008,63209,58291,15721375,60667,84875,93500
8,100000,7326213525,73262,3372,69917,160916,72625,89292,95167
9,100000,8652115224,86521,4664,82666,173333,85750,110500,116125
10,99702,10198990801,102294,63866,96292,10409833,99833,132500,156583
11,86396,9996790887,115708,4573,111042,200500,114917,139583,149292
12,75876,10023310318,132101,5526,126667,219875,131208,160584,171792
13,66988,9985849271,149069,5566,143208,248833,148167,176666,188250
