benchmark,runs,total,avg,std,min,max,p75,p99,p995
10,8756,2030129000,231855,16526,215200,687600,230500,303400,307200
11,4829,2003978700,414988,27072,386100,646500,415800,517800,527000
12,2628,2008019100,764086,38327,732100,1232100,767100,930200,969500
13,1390,1997924800,1437355,45145,1383400,1925000,1438300,1621100,1656200
14,727,1992049300,2740095,27682,2684800,2948900,2754700,2828600,2852700
15,371,1997407500,5383847,44241,5307100,5613000,5407900,5532700,5562100
16,187,1992403500,10654564,67463,10464000,11040700,10676200,10986600,11040700
17,93,1990612700,21404437,267572,21107700,23414800,21457700,23414800,23414800
18,44,1914761100,43517297,1117918,42836200,48156000,43361900,48156000,48156000
19,22,1923768500,87444022,1763619,86507300,93193500,86924000,93193500,93193500
20,11,1922273500,174752136,977881,174228700,177593500,174695500,177593500,177593500
