benchmark,runs,total,avg,std,min,max,p75,p99,p995
8,83532,9980867642,119485,2910,115333,182958,118916,134917,137750
9,66870,9991100176,149410,3313,148166,230083,148667,166917,168792
10,54098,9999704013,184844,3838,183375,425459,183958,202625,206708
11,45227,10016875193,221479,10352,219291,1754167,220000,242459,249750
12,38323,9989042359,260653,4465,258667,340875,259541,281209,287334
13,32959,9998148597,303351,4832,301125,382875,302875,323917,332333
14,28579,10000483267,349924,5611,347375,485583,350875,373875,383666
15,25114,9980745282,397417,5608,394708,531542,398292,421500,429709
16,22241,9976587529,448567,6132,445417,580875,449208,475834,482833
17,19793,10035041141,506999,12340,501083,704166,505167,556042,565708
18,17728,9966311154,562179,9438,557625,760125,561583,603875,612084
