benchmark,runs,total,avg,std,min,max,p75,p99,p995
8,158,9758127253,61760299,602664,60145500,66315500,61829750,64715500,66315500
9,133,9981953166,75052279,331814,74561875,77915083,75141750,76350083,77915083
10,109,9993689247,91685222,199584,91345000,92743209,91801250,92125208,92743209
11,90,9921016009,110233511,834769,109337917,115942417,110255000,115942417,115942417
12,76,9879836421,129997847,195576,129612792,130596500,130124542,130596500,130596500
13,65,9869672752,151841119,318912,151327458,153261291,151998708,153261291,153261291
14,56,9811338585,175202474,248207,174463834,175793375,175393791,175793375,175793375
15,49,9833520545,200684092,1851543,199729583,212967250,200558167,212967250,212967250
16,44,9983782458,226904146,256133,226247750,227320875,227129583,227320875,227320875
17,39,9974188587,255748425,857975,254897291,258989750,255742125,258989750,258989750
18,34,9709142081,285563002,782152,284744625,289309458,285705250,289309458,289309458
