benchmark,runs,total,avg,std,min,max,p75,p99,p995
10,10676,2000738400,187405,3277,185800,281700,187600,196800,201200
11,9367,2000629100,213582,3256,211800,316200,213800,222900,228700
12,8327,1999523400,240125,2474,238300,333500,240500,248600,251200
13,7449,1998369200,268273,2893,266500,416000,268600,277000,278900
14,6710,2000443800,298128,2308,295900,353900,298700,308400,310400
15,6071,2002214800,329799,5798,327100,443400,330300,344900,363900
16,5570,2000477700,359152,2324,356700,398200,360000,367900,370400
17,5073,1999438800,394133,3901,391400,500200,394800,404500,410300
18,4656,2000393100,429637,4504,426800,583500,430200,441200,446900
19,4297,1999671600,465364,2899,462300,525700,466000,475900,480800
20,3973,1999483600,503267,2696,499700,542100,503800,514300,518700
