benchmark,runs,total,avg,std,min,max,p75,p99,p995
4,100000,4532455702,45324,2547,43250,102459,44917,58791,61792
5,96036,10024284108,104380,4565,100042,281292,103500,128375,136500
6,38861,10008054173,257534,8456,247375,349666,255917,299708,309333
7,14398,9985709307,693548,17293,667167,923291,690625,754459,784875
8,4857,10006071812,2060134,43268,1987042,2598083,2061625,2248083,2351875
9,1498,9999619811,6675313,105493,6611583,7473958,6671084,7190291,7373583
10,425,9936498717,23379996,345404,23169500,26400584,23326375,24671042,24945541
11,115,9939883962,86433773,924983,85763625,90705375,86209125,89856209,90705375
12,30,9903678582,330122619,1433525,328443042,332457625,331637250,332457625,332457625
13,7,9029647249,1289949607,898897,1288373041,1290733375,1290602625,1290733375,1290733375
