benchmark,runs,total,avg,std,min,max,p75,p99,p995
4,72525,10124149885,139595,6013,135917,306292,140125,167750,182375
5,59939,10070350701,168009,6786,163916,260625,169000,200459,214792
6,50084,9931521144,198297,8290,192666,286792,198791,238959,249750
7,42948,9893647000,230363,9080,224291,566042,231208,272916,285334
8,37928,10076446984,265673,16792,255292,2272750,264250,308166,323250
9,33139,9979941461,301153,9896,289916,414542,300791,347959,357750
10,29682,9998737388,336861,10407,323875,598416,336375,383292,395375
11,26749,10004776609,374024,10908,359500,522750,373375,421042,437041
12,24202,10004851438,413389,11876,397417,580250,412250,464583,481167
13,22075,10008631740,453392,13314,435750,660584,451625,507375,533375
