benchmark,runs,total,avg,std,min,max,p75,p99,p995
16,14924,2018261612,135235,5269,129250,191417,137416,155667,159042
17,13094,2047175124,156344,8955,145542,266666,162084,182875,187292
18,11621,2006796341,172687,6493,162458,240041,175333,198000,202458
19,10518,1996824612,189848,5782,180917,264208,192167,209042,217916
20,9520,1997965432,209870,6046,199916,293208,212334,229584,237667
21,8619,1994803302,231442,8136,220916,319084,233542,268791,274291
22,7895,2006580115,254158,9048,242250,344709,255959,286959,290541
23,7266,2000269551,275291,6905,264583,382375,277542,300500,307834
24,6683,1996076762,298679,6996,288625,415584,300958,324792,332084
25,6174,1999115762,323795,7735,313791,441750,326125,354458,359167
26,5721,2000953412,349755,7972,338500,478292,352166,377875,385458
